病診区分,"
医療機関コード",医療機関名,都道府県コード,郵便番号,住所,構想区域コード,構想区域名,市町村コード,市町村名称,高度急性期機能の有無,急性期機能の有無,回復期機能の有無,慢性期機能の有無,科目,２．許可病床数・稼働病床数,,,,,,,,,救急医療の実施状況,,,,,職員数,,,,,,,,,,,,,,,,,,６．入院患者数の状況【平成29年7月1日～平成30年6月30日の1年間】,８．全身管理の状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】,,,,,,,,９．疾患に応じたリハビリテーション・早期からのリハビリテーションの実施状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】,10．長期療養患者の受入状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】
,,,,,,,,,,,,,,,一般病床,,,療養病床,,,,,,休日に受診した患者延べ数,,夜間・時間外に受診した患者延べ数 ,,救急車の受入件数,施設全体の職員数,,,,,,,,,,,,,,手術室の職員数,,外来部門の職員数,,新規入棟患者数(年間),中心静脈注射,呼吸心拍監視,酸素吸入,観血的動脈圧測定（１時間を超えた場合）,ドレーン法、胸腔若しくは腹腔洗浄,人工呼吸（５時間を超えた場合）,人工腎臓、腹膜灌流,経管栄養カテーテル交換法,疾患別リハビリテーション料,褥瘡評価実施加算（療養病棟入院基本料、有床診療所療養病床入院基本料）
,,,,,,,,,,,,,,,,,うち、経過措置に該当する病床,,,うち、医療療養病床,,うち、介護療養病床,,,うち、診察後直ちに入院となった患者延べ数,,うち、診察後直ちに入院となった患者延べ数,,医師,,看護師,,准看護師,,看護補助者,,理学療法士,,作業療法士,,言語聴覚士,,看護師,,看護師,,,,,,,,,,,,
,,,,,,,,,,,,,,,許可病床数,稼働病床数,,許可病床数,稼働病床数,許可病床数,稼働病床数,許可病床数,稼働病床数,,,,,,常勤,非常勤,常勤,非常勤,常勤,非常勤,常勤,非常勤,常勤,非常勤,常勤,非常勤,常勤,非常勤,常勤,非常勤,常勤,非常勤,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
病院,0101010002,ななえ新病院,01,〒041－1195,北海道亀田郡七飯町本町７丁目６５７－５,0101,南渡島,01337,北海道七飯町,   ,〇,〇,〇,"内科,脳神経内科,整形外科,リハビリテーション科,他",49,49,0,150,150,150,150,0,0,222,26,19,*,41,5,1,67,1.5,19,0,38,0,9,0,8,0,2,0,0,0,5,1,839,0,0,0,0,0,0,0,12,37,105
病院,0101010004,亀田病院,01,〒041－0812,北海道函館市昭和１丁目２３番１１号,0101,南渡島,01202,北海道函館市,   ,〇,〇,〇,"内科,糖尿病内科,呼吸器内科,消化器内科,循環器内科,外科,整形外科,形成外科,皮膚科,泌尿器科,神経内科,リハビリテーション科,放射線科",119,119,0,60,60,60,60,0,0,169,20,49,*,42,9,0.85,93,7.5,21,1.8,23,2.2,21,0,16,0,11,0,0,0,7,5.1,995,0,26,20,0,0,14,0,15,126,0
病院,0101010006,函館おしま病院,01,〒040－0021,北海道函館市的場町１９番６号,0101,南渡島,01202,北海道函館市,   ,  ,  ,〇,内科,20,20,0,36,36,0,0,36,36,16,*,24,*,*,3,1.5,24,1.6,1,0,12,0,1,0,0,0,0,0,0,0,2,0,176,0,0,0,0,0,0,0,0,0,0
病院,0101010011,函館おおむら整形外科病院,01,〒041－0802,北海道函館市石川町１２５番地１,0101,南渡島,01202,北海道函館市,   ,〇,  ,  ,"整形外科,麻酔科,リハビリテーション科",56,56,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,0,2,0.8,5,0,13,0,0,0,0,0,1,0,6,0,783,0,0,0,0,0,0,0,0,0,0
病院,0101010022,函館脳神経外科病院,01,〒041－8609,北海道函館市神山１丁目４番１２号,0101,南渡島,01202,北海道函館市,〇,〇,〇,  ,"脳神経外科,内科,麻酔科,リハビリテーション科,他",128,128,0,0,0,0,0,0,0,647,225,900,359,1316,11,0,120,0,9,0.4,33,0.5,22,0,15,0,11,0,9,0,12,0,3400,0,180,48,0,0,0,0,0,329,0
病院,0101010025,なるかわ病院,01,〒041－1112,北海道亀田郡七飯町鳴川４丁目３２５番１,0101,南渡島,01337,北海道七飯町,   ,  ,  ,〇,"精神科,内科,他",0,0,0,36,36,36,36,0,0,104,10,92,43,48,7,3.7,60,4.9,54,8.6,45,0,0,0,19,0,0,0,0,0,5,1,24,0,0,0,0,0,0,0,0,0,0
診療所,0101010028,内科・小児科・歯科　竹田クリニック（介護医療院　併設）,01,〒040－0054,北海道函館市元町２９番２１号,0101,南渡島,01202,北海道函館市,   ,  ,  ,〇,"内科,小児科,歯科",0,0,0,60,60,0,0,60,60,309,0,0,0,0,2,0.7,5,0.4,13,0.4,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
病院,0101010030,森病院,01,〒041－0801,北海道函館市桔梗町５５７番地,0101,南渡島,01202,北海道函館市,   ,  ,  ,〇,"内科,消化器内科,リハビリテーション科,他",35,35,0,100,100,48,48,52,52,22,0,26,0,0,6,0.8,39,2.3,14,0.7,31,0,3,0,3,0,1,0,0,0,1,0,254,0,0,0,0,0,0,0,0,26,42
病院,0101010031,函館記念病院,01,〒041－0813,北海道函館市亀田本町３６番１号,0101,南渡島,01202,北海道函館市,   ,  ,  ,〇,"内科,精神科,呼吸器内科,消化器内科,外科,リハビリテーション科,放射線科,整形外科,他",30,30,0,87,87,87,87,0,0,0,0,0,0,0,2,1.2,7,1.49,22,1,22,1.6,0,0,0,0,0,0,0,0,1,0,154,0,0,0,0,0,0,0,0,0,0
病院,0101010032,亀田花園病院,01,〒041－0843,北海道函館市花園町２４番５号,0101,南渡島,01202,北海道函館市,   ,  ,  ,〇,"内科,消化器内科,呼吸器内科,循環器内科",32,32,0,33,33,33,33,0,0,33,0,0,0,*,3,0.3,8,0.9,18,2.3,10,0,0,0,0,0,0,0,0,0,0,0.6,244,0,22,0,0,0,0,0,0,0,0
病院,0101010033,富田病院,01,〒042－8511,北海道函館市駒場町９番１８号,0101,南渡島,01202,北海道函館市,   ,〇,  ,〇,"内科,精神科,神経内科,呼吸器内科,外科,整形外科,リハビリテーション科,放射線科,消化器内科,他",45,45,0,29,29,29,29,0,0,57,15,120,35,0,9,17.1,61,0.4,89,0.5,36,0.7,4,0,8,0,1,0,0,0,3,0.4,326,0,0,11,0,0,0,0,0,27,16
病院,0101010035,函館新都市病院,01,〒041－0802,北海道函館市石川町３３１番地１,0101,南渡島,01202,北海道函館市,〇,〇,〇,  ,"脳神経外科,脳神経内科,整形外科,内科,循環器内科,リハビリテーション科,麻酔科,放射線科,歯科,小児科",155,155,0,0,0,0,0,0,0,397,145,798,348,1197,15,0,138,10.7,27,2.5,24,0.5,30,0,19,0,7,0,5,0,15,4.3,3109,0,110,23,0,10,0,0,0,247,0
病院,0101010036,新都市砂原病院,01,〒049－2222,北海道茅部郡森町字砂原１丁目３０番地５９,0101,南渡島,01345,北海道森町,   ,  ,  ,〇,"内科,消化器内科,外科,整形外科,脳神経外科,他",41,41,0,42,42,42,42,0,0,153,*,30,*,28,3,0,23,0,20,0,18,1.6,1,0,0,0,0,0,0,0,3,0,7,0,13,15,0,0,0,22,0,46,21
病院,0101010039,共愛会病院,01,〒040－8577,北海道函館市中島町７番２１号,0101,南渡島,01202,北海道函館市,   ,〇,  ,〇,"内科,外科,整形外科,形成外科,小児科,皮膚科,泌尿器科,産婦人科,眼科,放射線科,リハビリテーション科,歯科,口腔外科,呼吸器内科,消化器内科,麻酔科,心療内科,他",290,280,0,88,88,88,88,0,0,621,146,943,272,1641,16,1,93,4.8,35,1.2,49,9,7,0,4,0,1,1,2,0,10,2.8,2843,0,69,45,0,13,12,31,11,168,84
病院,0101010040,江口眼科病院,01,〒040－0053,北海道函館市末広町７番１３号,0101,南渡島,01202,北海道函館市,   ,〇,  ,  ,眼科,49,47,2,0,0,0,0,0,0,120,0,72,0,0,7,1,10,2.6,21,0,0,0,0,0,0,0,0,0,0,0,4,2.6,0,0,68,0,0,0,0,0,0,0,0
病院,0101010042,市立函館恵山病院,01,〒041－0525,北海道函館市日ノ浜町１５番地１,0101,南渡島,01202,北海道函館市,   ,  ,  ,〇,"内科,外科,小児科,リハビリテーション科",0,0,0,60,43,60,43,0,0,106,12,153,14,81,3,0.3,11,0,9,1,7,3,1,0,0,0,0,0,0,0,3,0,103,0,0,0,0,0,0,0,0,14,15
